Moisture,MoistureValue,Air Bubble,AirBubbleValue,Viscosity,ViscosityValue,Valve,Communication,PowerSurge,Description,Alert,SystemResult
1,824,1,0,1,2.94,ON,Success,Normal,All Systems Operating Normally,Normal,Pass
1,703,1,1,1,2.56,ON,Success,Normal,All Systems Operating Normally,Normal,Pass
0,0,1,1,1,2.43,ON,Success,Normal,Partial Sensor Failure,Check Sensor Connections,Fail
1,745,0,0,1,3.04,ON,Success,Normal,Partial Sensor Failure,Check Sensor Connections,Fail
1,813,1,0,1,3.29,OFF,Success,Normal,Actuator Jam,Flow Path Blocked,Fail
1,712,1,1,1,3.09,OFF,Success,Normal,Actuator Jam,Flow Path Blocked,Fail
1,851,1,0,1,2.67,ON,Fail,Normal,Communication Failure,Cloud Disconnected,Fail
1,782,1,1,1,2.35,ON,Fail,Normal,Communication Failure,Cloud Disconnected,Fail
1,793,1,1,1,2.74,ON,Success,Abnormal,Power Fluctuation,System Restarting,Fail
1,710,1,0,1,2.88,ON,Success,Abnormal,Power Fluctuation,System Restarting,Fail
1,848,1,0,1,3.11,ON,Success,Normal,All Systems Operating Normally,Normal,Pass
1,795,1,1,1,2.70,ON,Success,Normal,All Systems Operating Normally,Normal,Pass
0,0,1,1,1,2.80,ON,Success,Normal,Partial Sensor Failure,Check Sensor Connections,Fail
1,768,0,1,1,2.63,ON,Success,Normal,Partial Sensor Failure,Check Sensor Connections,Fail
1,813,1,0,1,3.33,OFF,Success,Normal,Actuator Jam,Flow Path Blocked,Fail
1,757,1,1,1,3.25,OFF,Success,Normal,Actuator Jam,Flow Path Blocked,Fail
1,719,1,1,1,3.27,ON,Fail,Normal,Communication Failure,Cloud Disconnected,Fail
1,752,1,0,1,2.91,ON,Fail,Normal,Communication Failure,Cloud Disconnected,Fail
1,836,1,0,1,3.05,ON,Success,Abnormal,Power Fluctuation,System Restarting,Fail
1,767,1,1,1,2.68,ON,Success,Abnormal,Power Fluctuation,System Restarting,Fail
1,714,1,0,1,2.52,ON,Success,Normal,All Systems Operating Normally,Normal,Pass
1,772,1,1,1,2.86,ON,Success,Normal,All Systems Operating Normally,Normal,Pass
1,0,1,0,1,2.71,ON,Success,Normal,Partial Sensor Failure,Check Sensor Connections,Fail
1,689,1,1,0,2.99,ON,Success,Normal,Partial Sensor Failure,Check Sensor Connections,Fail
